name,name_en,category,district,opening_hours,best_time_slot,avg_stay_minutes,ticket_hkd,notes,nearby_mtr_or_bus,access,travel_time_hints,geo_hint,url,latitude,longitude
香港消防博物館,Hong Kong Fire Services Museum,Museum,Wan Chai / Wan Chai North,10:00–17:00 (closed Mon),Morning,45,10,Historic fire engines and exhibits (subject to opening),Wan Chai MTR / bus,Check opening hours,Wan Chai area,,https://www.hkfsd.gov.hk/eng/links/fire_museum.html,22.2819,114.1745
西九文化區,West Kowloon Cultural District,Arts & Culture,Yau Tsim Mong / Kowloon,Event-based hours,Evening,120,Varies,Includes M+ Museum and Xiqu Centre,Kowloon Station / Austin MTR,Allow time for exhibitions and waterfront,West Kowloon,,https://www.westkowloon.hk,22.3015,114.168
M+ Museum,M+ Museum,Museum,West Kowloon,10:00–18:00 (varies),Afternoon,120,20–100,Contemporary visual culture museum in West Kowloon Cultural District,Austin / Kowloon MTR,Book ahead for major exhibits,,,https://www.mplus.org.hk,22.3006,114.1636
香港藝術館,Hong Kong Museum of Art,Museum,Tsim Sha Tsui,10:00–18:00 (closed Tue),Afternoon,90,10–30,Major art museum undergoing updates (check current status),Tsim Sha Tsui MTR,TST waterfront area,Combine with Cultural Centre visits,,https://www.lcsd.gov.hk/en/museums/hk_museum_of_art/,22.2965,114.171
廟街夜市,Temple Street Night Market,Market / Night Market,Yau Tsim Mong,Evening until late (~23:00–02:00),Evening / Night,90,0,Famous night market for street food and vendors,Jordan / Yau Ma Tei MTR,Walk from MTR,Best experienced after sunset,Kowloon,https://www.discoverhongkong.com/eng/dine-drink/shop/market-street/temple-street-night-market.html,22.3105,114.1694
旺角女人街,Ladies' Market (Tung Choi Street),Shopping / Market,Yau Tsim Mong / Mong Kok,10:00–22:00,Afternoon / Evening,90,0,Well-known street market for clothing & souvenirs,Mong Kok MTR,Walk along Tung Choi Street,Bargaining expected,Mong Kok,https://www.discoverhongkong.com/eng/dine-drink/shop/market-street/ladies-market.html,22.316,114.1709
花墟,Flower Market,Market,Yau Tsim Mong,Morning–Evening,45,0,Street of flower shops near Prince Edward,Prince Edward MTR,Short walk from Prince Edward,Good morning visit,Mong Kok area,,https://www.discoverhongkong.com/eng/see-do/great-outdoor/flowers-market.html,22.3339,114.179
雀鳥花園,Yuen Po Street Bird Garden,Specialty Market,Yau Tsim Mong,Morning–Afternoon,60,0,Traditional bird-selling market and culture,Prince Edward MTR / Mong Kok,Close to Flower Market,Combine with Flower Market,Kowloon,,https://www.discoverhongkong.com/eng/see-do/great-outdoor/bird-garden.html,22.3315,114.1738
文武廟,Man Mo Temple,Religious / Heritage,Sheung Wan,07:00–18:00,Morning,30,0,Historic Taoist temple in Sheung Wan,Sheung Wan MTR,Walk from Sheung Wan station,Short cultural visit,Sheung Wan,https://www.discoverhongkong.com/eng/see-do/culture-heritage/chinese-temples/man-mo-temple.html,22.2864,114.1498
志蓮淨苑,Chi Lin Nunnery & Nan Lian Garden,Religious / Garden,Kowloon (Diamond Hill),09:00–17:00 (garden longer),Morning,60,0,Tang-style Buddhist complex and classical Chinese garden,Diamond Hill MTR,Walk from Diamond Hill station,Combine with Wong Tai Sin Temple visit,,https://www.discoverhongkong.com/eng/see-do/great-outdoor/chi-lin-nunnery-nan-lian-garden.html,22.3411,114.1942
黃大仙祠,Wong Tai Sin Temple (duplicate note),Religious / Temple,Wong Tai Sin,06:00–17:30,Morning,45,0,Popular for wish-making (duplicate entry consolidated),Wong Tai Sin MTR,Easy access,—,Wong Tai Sin,https://www.discoverhongkong.com/eng/see-do/culture-heritage/wong-tai-sin-temple.html,22.341,114.1945
天后廟 (赤柱),Tin Hau Temple (Stanley),Religious / Heritage,Southern District,Varies by temple,Morning,30,0,Tin Hau temples across HK; Stanley Tin Hau Temple notable,Stanley bus from Central,Short walk from Stanley Market,Stanley area,,https://www.discoverhongkong.com/eng/see-do/culture-heritage/stanley.html,22.2171,114.1991
廊橋 (中環),Central-Mid-Levels Escalator (mid-levels),Urban Transport / Sightseeing,Central & Western,06:00–23:00 (varies),Morning / Evening,30,0,Longest outdoor covered escalator system,Central / Sheung Wan MTR,Walk from Central,Great for exploring SOHO and nightlife,Central area,https://www.discoverhongkong.com/eng/see-do/highlight-attractions/central-mid-levels-escalator.html,22.281,114.15
赤柱大浪灣,Shek O & Big Wave Bay,Beaches / Outdoor,Southern District,All day,Afternoon,180,0,Popular beaches and surfing spots,Shau Kei Wan MTR + bus,Allow 45–60 min from Central,South HK Island beaches,,https://www.discoverhongkong.com/eng/see-do/great-outdoor/hiking/shek-o-country-park-and-dragons-back.html,22.236,114.236
香港賽馬會（賽馬）,Happy Valley Racecourse,Entertainment / Sport,Wan Chai,Race nights vary (seasonal),Evening (race nights),180,Varies,Iconic racing venue; thrilling race nights,Wan Chai MTR,Check race schedules and ticketing,Evening entertainment,,https://www.hkjc.com,22.276,114.17
香港海港觀光,Victoria Harbour (promenade & viewpoints),Harbour / Scenic,Central & Kowloon,All day,Night / Sunset,60,0,Iconic harbour separating Hong Kong Island and Kowloon,Various MTRs & piers,Combine ferry and promenade walks,Best at sunset for skyline,Victoria Harbour,https://www.discoverhongkong.com/eng/see-do/highlight-attractions/victoria-harbour.html,22.2855,114.1572
中環至半山自動扶梯,Central–Mid-Levels Escalator (duplicate),Urban feature,Central & Western,06:00–23:00,Morning / Evening,30,0,(Consolidated),Sheung Wan / Central MTR,—,—,Central area,https://www.discoverhongkong.com,22.281,114.15
